# ID        SG      RA                  Dec             zSpec       EnvDensity  SFR_IR      SFR_UV      SFR_total   lgMstar     RMS         S_nu eS_nu       M_ISM_1e10 eM_ISM_1e10    lgSFE elgSFE      f_gas ef_gas      Ref
40883       1       150.16107180        2.27872992      0.725       0.57        45.39       0.38        45.76       10.55       0.164       0.39 0.10        1.48 0.39                 -8.51 0.11        0.29 0.08        2
51707       2       150.32321170        2.44926000      0.744       0.57        26.04       2.48        28.52       10.30       0.221       0.   0.43        0.   1.70                 0.   -8.78        0.   0.46        3
57753       2       150.45622250        2.63929009      0.745       0.58        19.26       0.79        20.05       10.81       0.216       0.56 0.14        2.25 0.56                 -9.05 0.11        0.26 0.07        1
1460        1       149.55584720        1.79781997      0.739       0.59        19.61       0.69        20.29       10.33       0.163       0.33 0.10        1.25 0.40                 -8.79 0.14        0.37 0.13        2
5708        1       149.73233030        2.48087001      0.735       0.59        26.30       4.25        30.54       10.00       0.180       0.38 0.11        1.44 0.43                 -8.67 0.13        0.59 0.21        2
38196       1       150.14721680        2.33724999      0.727       0.60        49.17       2.65        51.83       10.86       0.163       0.65 0.12        2.46 0.46                 -8.68 0.08        0.25 0.05        1
57025       1       150.43638610        1.81391001      0.737       0.61        22.45       2.69        25.14       10.09       0.169       0.   0.36        0.   1.37                 0.   -8.74        0.   0.53        3
42610       2       150.17243960        2.63491988      0.752       0.62        28.19       6.39        34.58       10.27       0.218       0.   0.45        0.   1.82                 0.   -8.72        0.   0.49        3
19493       2       150.01629640        2.38214993      0.757       0.65        20.32       1.62        21.94       10.55       0.223       0.   0.42        0.   1.69                 0.   -8.89        0.   0.32        3
10336       2       149.85395810        1.78397000      0.747       0.66        36.13       4.59        40.73       10.45       0.205       0.   0.43        0.   1.70                 0.   -8.62        0.   0.38        3
9407        2       149.83442690        1.79604006      0.744       0.68        51.08       1.74        52.82       10.93       0.217       0.   0.41        0.   1.62                 0.   -8.49        0.   0.16        3
17117       1       149.97621160        2.60859990      0.733       0.70        30.72       0.34        31.06       11.10       0.173       0.33 0.13        1.27 0.48                 -8.61 0.17        0.09 0.04        1
42231       1       150.16955570        1.83463001      0.740       0.70        34.97       1.28        36.25       10.46       0.170       0.26 0.12        0.99 0.45                 -8.44 0.20        0.26 0.12        1
23947       1       150.07217410        2.50096989      0.733       0.70        40.83       1.22        42.05       10.37       0.169       0.40 0.13        1.51 0.49                 -8.55 0.14        0.39 0.14        1
16561       2       149.96705630        1.84922004      0.752       0.71        23.05       2.68        25.73       11.10       0.204       0.   0.46        0.   1.86                 0.   -8.86        0.   0.13        3
41590       1       150.16532900        2.28944993      0.728       0.75        26.98       0.53        27.50       10.28       0.165       0.44 0.10        1.67 0.37                 -8.78 0.10        0.47 0.12        2
34907       1       150.13040160        2.51457000      0.732       0.75        38.49       0.39        38.88       10.29       0.169       0.   0.33        0.   1.25                 0.   -8.51        0.   0.39        3
14139       1       149.92431640        2.46900010      0.739       0.76        32.42       0.85        33.27       10.31       0.170       0.26 0.13        1.00 0.49                 -8.48 0.21        0.33 0.17        1
48244       1       150.24497990        2.22392011      0.727       0.77        18.63       3.49        22.12       9.85        0.167       0.   0.35        0.   1.31                 0.   -8.77        0.   0.65        3
48525       1       150.25051880        1.98089004      0.723       0.86        42.54       1.34        43.88       10.25       0.173       0.   0.36        0.   1.34                 0.   -8.49        0.   0.43        3
27057       1       150.09062200        2.41316009      0.727       0.87        17.95       1.19        19.14       10.21       0.164       0.33 0.10        1.26 0.36                 -8.82 0.12        0.44 0.14        2
58803       2       150.48532100        2.66752005      0.744       0.90        58.06       5.46        63.51       10.95       0.240       0.51 0.17        2.03 0.67                 -8.51 0.14        0.19 0.06        2
4433        2       149.69822690        2.36782002      0.752       0.90        23.17       0.83        24.00       9.83        0.206       0.46 0.14        1.86 0.57                 -8.89 0.13        0.73 0.28        2
21261       1       150.05067440        2.47757006      0.737       0.92        34.00       0.80        34.79       10.08       0.165       0.   0.40        0.   1.52                 0.   -8.64        0.   0.56        3
46272       1       150.20808410        2.04952002      0.731       0.94        34.04       0.14        34.18       10.71       0.163       0.35 0.14        1.31 0.53                 -8.58 0.18        0.20 0.09        1
7093        1       149.77285770        2.55573010      0.735       0.96        30.25       6.53        36.79       10.10       0.178       0.44 0.12        1.69 0.45                 -8.66 0.12        0.57 0.18        2
51675       2       150.32260130        2.51247001      0.755       0.97        26.81       2.28        29.09       10.45       0.213       0.   0.42        0.   1.70                 0.   -8.77        0.   0.38        3
21403       1       150.05282590        2.24354005      0.725       0.98        54.91       0.36        55.27       11.08       0.172       0.48 0.12        1.82 0.46                 -8.52 0.11        0.13 0.04        1
31361       2       150.11178590        2.58644009      0.755       0.99        46.23       1.36        47.59       10.60       0.215       0.60 0.13        2.41 0.54                 -8.70 0.10        0.38 0.09        1
46016       2       150.20339970        1.90285003      0.753       1.05        83.95       1.27        85.22       10.60       0.216       0.   0.41        0.   1.64                 0.   -8.28        0.   0.29        3
48710       1       150.25398250        1.94953001      0.737       1.10        31.18       1.27        32.45       9.98        0.179       0.   0.35        0.   1.35                 0.   -8.62        0.   0.58        3
24389       2       150.07476810        1.65954995      0.748       1.13        18.26       0.66        18.91       10.68       0.214       0.32 0.14        1.27 0.55                 -8.83 0.19        0.21 0.09        1
39871       1       150.15560910        2.78765011      0.726       1.14        18.45       0.50        18.95       10.45       0.182       0.   0.37        0.   1.41                 0.   -8.87        0.   0.33        3
7147        1       149.77459720        2.47119999      0.735       1.18        98.91       0.26        99.16       10.75       0.181       0.60 0.12        2.28 0.46                 -8.36 0.09        0.29 0.06        1
5434        2       149.72563170        1.81083000      0.752       1.20        243.50      0.44        243.93      10.70       0.227       0.85 0.15        3.40 0.58                 -8.14 0.07        0.40 0.08        1
40594       1       150.15902710        1.97935998      0.736       1.25        18.28       0.00        18.28       10.45       0.166       0.35 0.10        1.34 0.38                 -8.87 0.12        0.32 0.10        2
54204       2       150.37217710        2.54916000      0.750       1.37        21.65       0.00        21.65       9.69        0.221       0.   0.47        0.   1.88                 0.   -8.94        0.   0.79        3
21546       2       150.05485540        2.56947994      0.755       1.38        252.45      1.05        253.49      10.45       0.210       0.79 0.15        3.16 0.59                 -8.10 0.08        0.53 0.11        1
29504       1       150.10209660        2.42598009      0.727       1.40        27.83       2.61        30.44       10.44       0.179       0.56 0.11        2.11 0.42                 -8.84 0.09        0.43 0.10        2
52621       2       150.34239200        2.57600999      0.749       1.41        52.33       2.00        54.33       10.25       0.220       0.60 0.15        2.38 0.59                 -8.64 0.11        0.57 0.16        2
18802       1       150.00399780        2.34864998      0.729       1.47        26.45       0.41        26.87       10.53       0.165       0.40 0.12        1.51 0.44                 -8.75 0.13        0.31 0.10        1
30703       1       150.10815430        2.54707003      0.726       1.53        25.48       0.70        26.18       10.80       0.168       0.33 0.13        1.25 0.49                 -8.68 0.17        0.17 0.07        1
52339       1       150.33618160        2.35308003      0.725       1.54        36.36       0.25        36.61       10.44       0.163       0.33 0.10        1.24 0.39                 -8.53 0.14        0.31 0.10        1
11447       1       149.87681580        2.47651005      0.737       1.59        35.17       0.41        35.58       10.80       0.163       0.30 0.11        1.16 0.41                 -8.51 0.15        0.16 0.06        1
11436       1       149.87672420        2.46471000      0.731       1.62        19.14       0.53        19.67       10.54       0.178       0.30 0.13        1.16 0.48                 -8.77 0.18        0.25 0.11        1
15692       1       149.95265200        2.51623011      0.730       1.66        51.56       1.38        52.94       10.85       0.165       0.33 0.12        1.27 0.44                 -8.38 0.15        0.15 0.05        1
8831        2       149.82049560        1.81175995      0.749       1.69        27.82       6.32        34.14       10.76       0.215       0.56 0.14        2.22 0.58                 -8.81 0.11        0.28 0.08        2
12693       1       149.89828490        2.42258000      0.733       1.74        21.60       3.18        24.78       10.06       0.166       0.   0.36        0.   1.38                 0.   -8.74        0.   0.54        3
26755       1       150.08918760        2.06529999      0.725       1.78        31.71       4.10        35.82       10.89       0.168       0.   0.42        0.   1.57                 0.   -8.64        0.   0.17        3
16770       1       149.97004700        2.46136999      0.732       1.79        35.84       4.73        40.58       11.05       0.166       0.31 0.12        1.19 0.44                 -8.47 0.16        0.09 0.04        1
19191       1       150.01077270        2.56886005      0.737       2.00        20.63       3.55        24.18       10.65       0.168       0.44 0.11        1.69 0.41                 -8.84 0.10        0.27 0.07        2
12989       1       149.90365600        2.54447007      0.728       2.02        21.70       0.33        22.03       10.54       0.169       0.68 0.10        2.58 0.38                 -9.07 0.06        0.43 0.07        2
8269        2       149.80523680        1.76399004      0.744       2.05        24.73       2.55        27.27       10.08       0.208       0.62 0.15        2.45 0.58                 -8.95 0.10        0.67 0.19        2
43989       1       150.18231200        1.70081997      0.735       2.16        109.76      0.83        110.59      10.64       0.181       0.54 0.12        2.05 0.45                 -8.27 0.10        0.32 0.08        1
46397       2       150.21011350        2.31167006      0.748       2.16        133.30      1.74        135.03      10.80       0.216       1.19 0.17        4.76 0.68                 -8.55 0.06        0.43 0.07        1
14696       1       149.93466190        2.55611992      0.729       2.16        24.01       3.96        27.96       11.06       0.172       0.39 0.11        1.48 0.42                 -8.72 0.12        0.11 0.03        2
63717       1       150.64860540        1.90240002      0.737       2.47        38.75       3.10        41.84       10.13       0.176       0.36 0.11        1.38 0.42                 -8.52 0.13        0.51 0.18        2
20173       1       150.02958680        2.30753994      0.726       2.48        43.81       0.61        44.42       10.90       0.167       0.36 0.13        1.36 0.50                 -8.49 0.16        0.15 0.06        1
9757        1       149.84196470        2.50101995      0.734       2.58        32.00       1.44        33.44       9.78        0.165       0.   0.32        0.   1.23                 0.   -8.56        0.   0.67        3
13409       2       149.91070560        2.55461001      0.753       2.60        51.37       7.00        58.37       10.78       0.223       0.62 0.15        2.48 0.59                 -8.63 0.10        0.29 0.08        2
9173        1       149.82911680        2.41458011      0.730       3.00        26.55       0.30        26.85       10.43       0.170       0.47 0.10        1.77 0.39                 -8.82 0.10        0.40 0.12        2
17344       1       149.97996520        1.76528001      0.735       3.27        32.76       1.06        33.81       10.44       0.180       0.32 0.13        1.23 0.48                 -8.56 0.17        0.31 0.13        1
11235       1       149.87269590        2.49549007      0.732       3.31        18.41       0.43        18.84       10.33       0.168       0.33 0.10        1.27 0.39                 -8.83 0.14        0.37 0.13        2
18732       1       150.00265500        2.68545008      0.735       3.41        44.57       1.49        46.06       10.65       0.180       0.   0.43        0.   1.64                 0.   -8.55        0.   0.27        3
10717       1       149.86195370        2.47996998      0.727       3.56        26.65       0.23        26.88       10.00       0.174       0.   0.41        0.   1.54                 0.   -8.76        0.   0.61        3
13621       1       149.91462710        2.54237008      0.729       3.93        24.74       0.43        25.18       10.71       0.173       0.39 0.10        1.48 0.39                 -8.77 0.12        0.22 0.06        2
28053       1       150.09541320        2.25518990      0.727       4.28        28.51       1.08        29.59       11.00       0.167       0.48 0.10        1.82 0.39                 -8.79 0.09        0.15 0.03        2
20897       1       150.04356380        2.32572007      0.727       4.59        18.52       0.14        18.66       10.51       0.165       0.40 0.10        1.52 0.38                 -8.91 0.11        0.32 0.09        2
13512       1       149.91262820        2.52716994      0.737       4.69        27.02       1.70        28.73       9.48        0.177       0.   0.33        0.   1.26                 0.   -8.64        0.   0.81        3
23357       1       150.06848150        2.32342005      0.729       4.81        33.68       0.00        33.68       10.40       0.159       0.31 0.11        1.17 0.41                 -8.54 0.15        0.32 0.12        1
25873       2       150.08401490        2.64053988      0.747       5.11        26.77       1.72        28.48       10.32       0.216       0.   0.45        0.   1.79                 0.   -8.80        0.   0.46        3
32530       2       150.11770630        2.26676011      0.751       5.31        28.77       2.30        31.07       11.15       0.152       0.41 0.11        1.65 0.43                 -8.73 0.11        0.10 0.03        2
10837       1       149.86451720        2.48399997      0.729       5.37        17.12       0.00        17.12       9.80        0.168       0.49 0.10        1.86 0.39                 -9.04 0.09        0.75 0.20        2
32328       2       150.11659240        2.26526999      0.749       5.52        20.10       0.38        20.48       10.20       0.152       0.41 0.10        1.65 0.42                 -8.91 0.11        0.51 0.15        2
17691       1       149.98559570        2.55435991      0.728       10.48       35.76       0.82        36.58       10.80       0.165       0.59 0.10        2.22 0.38                 -8.78 0.07        0.26 0.05        2
